Text,Sentiment
Sahi hi tan kiha a usne Sach a sab,1
Such koda hunda ae mitra,1
Nice song ji kutteya nu mircha lagiyaa,0
End song veereya,2
Bandr ne ta karne hi aa parche but sherra nu koi dar ni,2
Bilkul sahi keha na,2
Nice song ranjit bawa bat sachi par kadvi h,1
Bawa veer ne shi bolya Sach hii koi,2
Bilkul sach gayea ranjit bawa ne,2
sach sunan di himat ni ehna lokka ch tn hi muh chak ke aa jnde sach nu dboun parcha kron,0
Shi gll a,1
Kasoor saara pakhandwaad da hai,0
Gall teh sare dhrm nu kita aur jo likheya sach likheya hai,2
Suri tera baap,0
Saleya pta tenu v aa sach aa eh,0
lun te vajjo saare,0
Bahut vadia geet veer da,2
haha gla khraab lagda mantri saab da taja e moot pee k aya lagda chal sala lan,0
sahi kiha Ranjit bawa naa,2
Sach bol yaar Ranjit Bawa ne,2
Bhut vdya Songs Sach va,1
Sahi keha ranjit baba ne asi sab nal ne una de full sport dilo,2
BAWA THK AA,1
jithy thak jor lgdaa la leo sach koraa e hudaa a,1
Such gal ta all marhi lagdi a,0
Bawa ji na sahi kaha,0
Jhna ne song dislike kita ohna di maa daa fudda,1
Shi keha vir bawa ji n,0
Bawa bai ne shi keha,1
Hun kehnde ho assi maffi ni mangvauni bawa nu jail hove Teh sikha vari keh din de ho ji maffi mang li va bs sab ok aw,1
Sahi Kaha Ranjit bawa ne,1
Song bhut nice aa ranjit bawa da,2
bilkl sach likhya ranjeet bawe ne kuj v glt ni sach,2
Ahe pehla v bahmna bare bollyea C bawa,2
Bawa Vera ji tusi right ho,0
Sahi gl khi hai ji Koi glt nhi keha,2
Insaniat khatm aa loka ch jinna ch hai ona nu davonde aaa Be positive,1
sach kora hunda,0
Yaar a kuj v galat nahi Yaar veer inj gusa na karo,1
Jo Kuch v Ranjit bawa ne keha sahi keha hai I will full support,1
Mai support krda hindu dhram nu,1
Tusi karlo jo krna,0
Mut pi lao gaau da frr,0
Sach hi bolda aa Bawa Bawe te case karta Pk te omg Film te bi case hona cahida Aaa,1
Ranjit bawa na kato famous hon vaste karnaa sab oh pehlo he famous yaa loki fudu yaa jehdaa bol reyaa yellow shirt vala ehh famous honaa chondaa,0
Kus ni hona sirf rola Pai reha auon wale dinaa ch sb theek ho jana love u ranjeet Bawa bai,1
moot pini jaat di tupp gyi,0
Bilkul sahi bava singh,2
Sahi ta keha ranjit veera nya sra song vich ik ik line da meaning aaaa song vich yuh wali gal ta pahla kehadi veera nya,2
Shi keha ranjit bawa ne,2
Jis dharm cho nikley tuc us nu galt keh re o Doob k mar jao,0
Kujh galat nahi keha ranjeet waba,1
Acha gusa thode samaj chphir mnusmriti ch ki likhyaasi v kreiye sare brahmina te,1
Bhut vdhia song aa bilkul sach aa sara,2
Lok nahi samjan ge,0
Bilkul sach keha Ranjeet bawa ne,1
Bajrang dal fuddu log,0
Sale bander mutt peni jaat sach v sun ni hunda,0
Nice song aa,2
Sale oh ju chij hai gyi aw gaane v ta os ote hi likh hone aw,1
Ki glt he ehde ch,1
Kuch Galt nhi kya,1
Bilkul sahi kaha Ranjit bawe bhai ne,1
Koi ghlt nahi sahi aa,1
sikha bare v bolya,1
Bilkul sahi a bawa ji keep it up,2
es vich glt ki keha ranjeet bawe ne sach hamesa kadwa e hunda,1
Mooot peeeenya nu gussa ta lgna e a,0
Bund paad gi sach sun ke,0
Glt kujj nhi glt soch hai jo ohh dss riha,1
Bawa ji I am Sikh But jyada Mahan banan lyii Eve bakwaas nhi kri diiPathar cho he Bhagwan lbhya loka ne,0
such kadwa lagda veere,1
Sai gal geet bec keti,1
Bhnchoda ki glt aa ehde vich,0
Sach boliya Ranjeet Bai ne,1
Ranjit bawa ne bilkul Right kha,1
Veer g Jo keha bawa ne o sach keha hai,1
Sch kehaaa bawe ne,1
Moot dimag ch vad gya salya de,0
Mnu ta lgda ni k ranjit bawa ne kuj glt keha,1
Koi rosh nai sahi gaya veer ne,1
Sach ta sach hi hai,1
Jede pindra alee atanwadi warge bnde nu follow karde Ohh bc sanu shikhaa rahe kya karna chahiye,0
galt ki h sahi kiha,1
Shi aa yaar bawa loke ave he,1
hun sach ni seh hunda saleo tahi parcha kita aapne bapu te fudu lokk,0
Ki galat keha gaane c salea merea,0
Ranjit bawa sahi a bai tere naal a tention ni laini,2
Sach kha song che,1
Shi gll khi Ranjit Bawa ne,1
"Sir, app nu pta ha k labur bhukhi Mar rahi ha, ajj hi sell Ltd. Vich gate te labur ro ki aye ha, video sand karda ha 1st May dekh lo.",0
Mainu smjh nhi aundi captain Saab majdurr diwaas mnon naalo chngaa majdurra daa Socho kuj kehre daily dihari kr k khaande ohna baare Socho chlo ek gal hor captain Saab nihanga Di gaalti c par Hun jdo harjit Singh ghr Aya oddo ekath krna jarruri c Ene jaane te saabji leen nhi c gye ohna.,0
motteya saand bahar v aaje dekhla gareeb marda peya...,0
Thnxs g eda de waqt vch apne farz tuse bahut vadiya nebhe rhe j,2
tu trakhi kde ni kr sakda des di challange khula tenu,0
pind diya shop khol deo.jina ch koi case nhi haiga ji,1
C m.sahib.lokdown.di Gulami.to bahar.karo,1
corona krke tuc har kise nu bchaw lyi ohna nu gahr rehn nu keha nd sb jgh vdya kam ho re hsptl v,2
"Middle class n 40 din Ghar baith k nikal laye eh v bahut vaddi gall hai sir ji,",1
Sir mainu ik moka ta deo flag lehron nal kuj ni hunda please sir mainu agge aun da moka dita jawe,1
isi ne kuch ni krna. Ehna apne hi tid parne ne,0
sir home guard de jawana waal vi diyaan doo plz,1
Je ehi haal Reha sarkaar Da fr tah lgda nahi virus jauga,0
bc aassi inne dinnatoh ghar baith k tym kdd rhe nd u allow outsiders to cm in pb,0
Ghara vich baitho kehna aasan aa ji...Jo log ghara vich baithe ne ohna Ghar roti hai ya nahi eh pata tuhanu?,0
Ki ditta Gareeba nu Sarkar ne is mushkil time vich??? Dass sakda koi menu?,0
Na ta ludhiana DC saab to saambh ho rea... Ohvi bahut vaddi vaddi gallan kar rahe ne...,0
Jhre lok hazur sahib to aye ohna nu test krna chaida c,1
Ohna waste raste wich sab arrange krna chaida c ‰Û?,1
Je relexation da faisla dc ne karna fir tusi live hoke apna time waste kyu karde ho .,0
"Middle class nu marn do bas tusi bacho tusi karo aish ,",0
thonu mehla ch rehn walya nu ki pta ki middle class insan is zindgi ch kine dukh jhalda hai,0
cm saab boht vdya kam kr re es bimari de khtme lyi,2
Ki faida hoeyea 35 din de loka de sacrife da. Tusi ratto rat mitti krda,0
great CM shib jindabad jai hind jai congress jai,2
is bure time te boht vdya kam kr rhe o,2
Ajj curfew relaxation de samay bahut shops te rush hoiyaa .log faida utthaa rahey .1,1
Galat ho riha. Shutter neechey Karke Kuch dukandaar smaan veych rahey (Jo ki kholan Di mnahi hai). Sakhti Karo sir ..,0
Good captain saab......sabh de muh band ho jann....j commander khud jung de maidan ch aa k lead kre....,2
Thanks sir ji jo tusi sade labur lai socheya,2
app ta tu c apne farm house vich bethe ho ..tu hanu ki pata pujab vich ki ho reha hai ...eho jehe sarakar nhi dekhi kadi ... jo apni he state nu barbad kar deve,0
ki oh sach wa ja nai,1
Love you sidhu meraaaa yrrrrrrrr love you so much,2
"Pehla punjab di help kr bruv fer hor state bare soachi, pehla avde ghar di shatt paeya ja gvandiya di.",0
Ustaad luv u aw good work,2
Plz tuci. Oh loga di help kro jede pind ch rehnde ne Jina de ghr Khan di we problem aw tuci khud garib loga nu kch do,1
Love.you.ustad.ji.tusi.hun.kithe.ho.tusi.pind.di.sewa.kar.rahe.ho.te.loke.thonu.madha.khide.ne.par.sanu.pata.h,2
Koi ni paaaji karaange aapa,1
Change Kam te lgao fir je kanak wahdi a ta,1
Sira laya astaad bhut hi down to earth,2
Moose wala Moose wala hoi pai hai,2
Sira sidhu veera,2
Bhut vadhya sidhu musewala,2
Badi gal aa v,2
Veer jata di gal kero jo hun ho reha 3 din ho gaye ik trali nahi mandi ander gayi sab fudu banode a,0
God bless u Shidu g Allah pak buht khush r abaad Rakhy apko.Ameeen,2
Dill da ni mada jatt khushi aali lehar aa.. Sada ta ustad aa jatt heatra lyi kehar aa,2
22g atttt Karti aaaaaaaaaa,2
Jata tere gane ne wet hondiya sirf ora tu sanu lena dena ni bro gio jata,1
Sidhu pra tu vich hega song de reply,1
Ghaint gal bat y,2
hit aa song pahla hi,2
Chk ki rakho km,2
Veere agla ganaa friends ty zaroor,2
Attt aaa purAa song,2
Ustad ji nawa gaana kado kadna,1
kise worker nu krr lo g bhut kut khadi a congress party lee,1
Jehre nice good likh rahe sab sarkaar de bande ne public te thu thu kr rahi hai,0
C m. Saab lockdown vich dhill de ke kite jitti baji na haar jaiye,1
Knjra sada pind v le baitha dilwalpur ch new case ayea tri vja nl jo tu hazur sahib sagat le k ayea,0
Hath katna ta raas aa giya khud di bhi promotion ho gayi bete nu bhi job mil gayi babe di ta phool kirpa ho gayi,2
Captain sahb middle class walean bare v kuch soch lo,1
Hor v mude ne cm saab ke punjab ch ahi muda reh gya bss hun,1
Lok bukhe mar rhy n .ghra ch baithe kam.bnd n ohna li ki krdi aa government,0
Sabto ghatia cm ho tusi actually tuhanu akal hi ghat hai,0
Tohanu vote is lae pae see sir kee gariba da kuch socho gea job dao gea btt tusi kuj nhe kita,0
Jihney vicharey ney mehnat kiti ohnu job na deyo evey gand pai jao,0
sir sade bre b kuch soch loo vehle bethe aa,1
Harjeet singh sir g ne khri jang jiti c das sakda manu koi jis lae ohna da beta v polic officer bna dita,0
Punjab b dek lo aena nu sad do a tek ne hon,1
Caption Saab hor bahut janta hai ona wal v dyan dvo nokri da,1
"Lok akke pye tuhadiaa nakamiaa karke ,",0
15 din ho gye Harjeet Harjeet kari jane oo hor punjab koi wasda ni,1
Baccha bahut cute hai,2
par kaash eh lockdown nu khulwaan baarey gall kar reha hunda taan bahut pyaara lagna see,1
Capt Sahab i m request to you...... jo yatri Hazur sahab ton aaye hun pls verify all passengers and do quarteen them its too necessary for all punjab.,1
"Punjabi ch gall krla ,wda angrej banya",0
corona krke tuc bchya de school bnd kre thnx ohna lyi,2
Captain Amarinder Singh cm sb jandabad ji,2
corona krke tuc har kise nu bchaw lyi ohna nu gahr rehn nu keha nd sb jgh vdya kam ho re hsptl v,2
Kiri mil walea saade paise nhi PAYE 2018 sugarcane De oh kdo milnge naa ee esh saall wale haale tkk start kitte,1
Saliya tu Punjab da Cm ah. Amrica da nahi jo english speech share karti,2
Cm sahib g mere beti Rajstan 21 march to othe ne g plz ona nu ghar leada jave g sri muktsar sahib g plz,1
Assi nal apne captan saab nal,2
God's bless you CM Sir punjabiyan d sehat tuhade lai jaruri aa 2,2
"Captain penchode .teri pen di lan , punjab di bund mari pyi tu",0
aao punjabio.. Saare saath dayiye captain saab da corona nu haraan layi,2
Sir tuhada bahut bahut shukriya........ Tahe dilloooo sadke saye tuhade........ Sade bachae KOTA ton aa gaye ne.,2
captain tenu kuch ni aanda . nikama hai tu,0
modi jindaband captain lodu saaleya,0
plz help eithe haal sudharan layi 1,1
sidhu bai aur gaane kdo aa rhe ne,1
sidhu karan toh sikh kuch ni aanda tenu,1
sidhu te babbu maan da fan,2
dubai tak dhak pai payi hai sidhu luv u,2
pencho sidhu teri pen di,0
"curfew sukht kro ji , cases vad rahe ne, jede corona free districts ne una ch v curfew skhtai naal implement kraao",1
CM Saab covid19 to Fateh ta Asi pa hi lvange but middle class da v socho kuchh....,2
Jai hind sr g ap ji nu aci benty karda ha krona mhamari da sma chalda hai hai,1
Sr g pliz band krado acid tohadde dhanbadi hobage,2
tu c thora jeha dhyan deo cm sahab ji,1
malik apne naal hai sab theak ho jana tu c bs strict raho te jo action laine chahide ne oh lao,2
medical di thori jihi jyada dhyan den di jrurat hai te greeb lokan bare v socho ji,1
meri hath jod ke sare punjab de greeb parivaran valon benti hai ji,2
Sade bare ve socho caption sahaib mini busa bare ji please,1
"Namste ji,jina labourer ne cova te registration karvaya si , uh Na nu ration kado milega",1
captain saab eve de he fesle bad ch v lya kro hun ta corona a jan di pyi sb nu,1
Tusi bhut vadia krea cm saab,2
krfo lga k ghata ta government nu bhut pyea fer b tusi Punjab de loka de fikr krde hoye krfo lga k bhut vadia krea slute a,2
Sir rapid test di report not ok so pls is te thoda dayan dena ji kite apaa kise corona de na ho jayie,1
Mubarka paji bhut bhut,2
CM Saab Micro industry nu kuchh chhut detta jawe Mohali Industry ph9 bich kafi chhote industry.,1
Guru sahib di app te kirpa he Maharaja sahib ji,2
Kya changi news lockdown khuln de badd middle as Le 6month har roz maran GE,2
Waheguru ji Mehar kern ji,2
Respected cm sir g barnala district bi corona virus mukt ha g ethey total 2 case see 1 di death ho gai 1 da negative ho geya g District barnala bi corona mukt ha ehdi news vi deo g please,2
sir balachaur dist. s.b.s nagar di lakad mandi de mjdur bot jada presan ne 0,0
sare prvasi mjdur ne sir mndi ch kmm krde mjdur ch disstence bot hunda so plz lakad mndi nu mnjuri ditti jave ...thanx,1
Middle class pees reha a capitan sahb do something,0
Gud job sir accunt vich paisse paune jari rakho ta Jo koi be grib tang na hove Congress jindabaad c Saab jindabaad I love u sir,2
Sir lockdown to baad garibaa de rason card da kuj socho. Halka boa mla shri joginder pal JI. Sarpanch Nakki,1
Sir jis jis district which last 14 days to koi case nahi aya oh district nu relaxation de do.,1
Sir mandia ch wheat da v moisture chk ho rea farmers nu kharab kar rae ne 2 din ho gae ne farmers Mandi ch hi ne kehde moisture jada hai Distt pathankot,1
Kar deo kerpa rural pharmacy officer tay,1
center government Da koi Vadiya Uprala nahi hai loka Di Saholat lai Par hun lok kite Jann medal calass lok Ja Aam lok Ki karn,0
Captain saab ma middle class naal releted ha sada ta o haal ha na ta asi mar sakde ha te na hi jindgi jaun di koi tamna rh ghai ha,0
captain sir wheat layi bags ni provide ho rhe maror mandi patiala nabha road te and na he nabha mandi vich ki kr rhi aw sarkar pass nu v ki kra ge jdo bags e provide krwa reha dc,1
Respected sir kindly give relaxation in lokdown in punjab,1
Great leader captain amrinder Singh ji zindabad,2
Sir dekho baki city the govt is doing for thr middle class,1
Punjab da khajana khali h ta sarkar chad dao kise padhe likhe greeb insaan nu khajana mantri bna dao,0
Sir asi bijli da bill bharna hai btt department koi guide nhi Kar Riya rude gal Kar riha call cut Kar daina hai,0
"Sir jehde fund nu le ke jhut bolde ne ineih te case nahi ho sakda, dusra kol aisa kanoon nahi hai je center paise na deve ta court ch case paaya jaye",1
Jera 900 crore samb k rakhea a ovi greeba ch bando ik month ho chla lock down nu sarkari madad koi nai tadi sarkara nalo ta NGO wale change jere loka nu rashan de re sakhti nal ta lagu krao j loka nu under Bethan lai kuj de re o Lok ta majboori ch bar aa re,0
Bahut Sahi faisala ji...bahut log hajey vi serious Nahin lai rahey ji..Jaan hai ta jahaan hai ..3may tak no relaxation ji..,2
News aa rehi hai k kal toh kaafi saari shops open ho rehi ne. Samaj nahi aa riha k news sachi hai ya phir tuhade message???,1
Caption sahaib sada mini busa waleai da ve kuj socho ji crona karke 1 janvery to he sada come buhut ghate vich chal reha ce te 20 march to bilkul band hoyeai payeai lock down karke sade 2 tekes fast te sakend maaf kite jan te sadi aarrthikk madad kiti jave ji,1
Very good Decision CM sir middle class family Kay lay aah bi kush sohco Ji sahb mahar jahngay. Bijli bill school fees and gahr ka rashan milk wahlay ka all bill. Kush tay karo CM Ji kahm Band ha ji pls help me middle family.,2
Sade ni hunda curfew sahi tra nl lok ture firde a bahr kite group bna k khd jande a jwak galiya ch khed rahe a koi v care ni kr reha police jd aundi a baj k ghr vd jande te jdo chli jave fr oda e crowd,0
"Sir g Jalandhar nu tight karo, Jalandhar ch bahut bura haal aa, curfew wali koi gal nai lagdi othe, sab jagah normal ghum rahe ne lok..",0
"Punjab police nu power kyu ne de rahe, pehla jive ta he lok ghar rehne,nahi control mushkil aa",0
Respected CM Saab asi pendu dispensary vh pharmacist 14 saal ton sewa kr rahe. Punjab vh aai hr Emergency duties kete.,2
Kade v bycot nai keta. Covid-19 against front line te km kr rahe. Plz sanu regular kr deo.,1
Captain Sahab main thoda bahut bada fan han main Delhi randaha mera naam Manjeet Singh Khokhar hai Tulsi Punjab police ka ilaj karo,2
"Vaisaskhi diyan Mubarak, waheguru tuhanu tandrusti te jo v ardaas tusi sare punjab layi koti hai ,waheguru jaldi puri kre, ...jeoundey vassde raho tusi te tuhada punjab hareya bhreya rahe....",2
Good sir but mera app ji nu corona bare eh dsna chauna ki jo mulajm graund level te km kr rhe ne una ton sujab lao g na ki jo office vich jada time spend krde ne. khas kr police officer,2
Happy baisakhi Maharaja sahib Tuhade parivar te Guru sahib di kirpa he,2
Waheguru ji parm pita parmatma di kripa sade Punjab ta bani rahe,2
Koi naujawan mukh mantri hona chahida dekho vichara guru gharr sahi tra baith k path v sun nhi skda.waheguru ji mehr krn c m saab te,0
"Captian Saab , Maharaj Ji Di Hazuri Ch Guru Sahib Ji Di Tasveer Guru Granth Sahib Ji ton Uper Ni Rkhde... 0",0
Ty Na hi juraban Pa k Maharaj Di Hazuri Ch Jayida... Tuhannu ehna gallan da ni pta tan tuci sikhi da saath kive de skde ho... jo k ajj tkk tuci di‰Û?,1
Happy vaisakhi app sab nu.. ardass benti karo ajj sare ral ke ke Corona world cha khatem ho jave ji,2
Sir g rehan dao matha taken nu unz v tusi saon kha k mukker hi gai anyway happy baisakhi,0
Waheguru g. Mehar barea hath rakhe g,2
Waheguru ji but es nakli te ghatiya neta captain amninder de post ku paae h jisne gutka sahib de chuthi soh chuki c sarea de sahmne aah koi banda h,0
"Dear CM sir, you should have removed your socks because Nange pair hi guru ghar jayida jnaab.",0
Fer paave guru ghar jayo ya apne ghar lai ke aayo guru granth saheb ji,1
"Captain Sarkaar bohut kuchh kr rhee, gud Guru sahib kol ardas v keetee",2
Waheguru g kirpa Karo Punjab te .,2
Corona te captain Dona kolo bachao Punjab nu .,0
Wahiguru ji Punjab te Mehar kari,2
Waheguru ji meher krn whole world te,2
Aa jeda kohad lagya punjab nu badal te captain es toh v jaldi rabb bchave punjab nu,0
Dhen.guru.mahraj.sahib.jio.kirpa.kari.sari.duniya.te,2
band kar do Punjab di,1
Outsource pesco Rahi Pakke kar do Sarkar repeat Ho ho jayegi,1
Sache patshah kirpa Karan sare sansar te,2
Captain sahib thanu ik beanti va je guru maharaj di kushi prapat karni va ta jrurur dharti ute baithea karo sadi beanti va,1
1 gal ta sidd krti mantri sahibana ne ki samne bhavein janta hove ja guru sahib kursi ni chadni,0
Happy visakhi cm sir tuhadi te sadi sariya di mehanat safal ke waheguru g,2
Caption Saab kissana da ganne di payment kardo,1
Captain saab socks pa ke gurdawre nahi jyda.,0
Sarwan singh ji dhian nll vikhoo ardas ho rai v,1
Waheguru ji mehar karn sarea te good CM sir,2
Dhan Dhan Shri Guru Granth Sahib ji,2
Waheguru ji Dhan Dhan Siri Guru Harkrishan Dev ji waheguru Ji kro kirpa,2
Parmatma Maher Maher Karan kise nu tatti hva na lage,2
Thalle ni beth hunda ade toh,0
Oye shocks ta la lainda mariiyada nai pta guru ghr di k,0
Captain bai sharam kr yaar juraban paa k e matha tekda pya,0
sabh plzz private school da v kuch karo jrurr loka da kam kajj band ho chukeya hai paisa nahi aa reha fee kitho denge J school wale ya staff wale 1.2 month apni jeb vicho khaa len ta kedi vadi gall hai gall sochn wali hai plzzz sarey ek duje di help karo,1
Sir g 4000 multi purposes health worker d bharti jaldi kiti jave ta jo crona de khatme lai ground level te health education diti ja sake,1
Captain Amarinder Singh ji Sir nodel complaint pspcl de mulazim Jo kache ne thekedaar de hath Ch ne ohna nu v pakke kardo 10000ch apni Jaan da risk leke Jo duty kr rhe ne,0
Captain sahib punjab police nu salam hai ji but mere pind akot jo devigarh road te hai pind ch sharab sham nu har roj shreaam vikdi hai kirpa karke band karvao ji thanks ji,2
"Rub tuhanu hor greeb mazoor loka di mdad krn da moka dewe"" jai hind"".",2
Road animals ko chara.food.water provide kara do ji kyo ki in ko be insaan ny dyna hy,1
Eho jehe police waliya nu dilo salute aa.... Baba g hamesha chardikla wich rakhan,2
Bahut bahut dhany lvad sar aapka mere pass shabd Nahin hai ki aapka kaise shukriya Ada karu g salute you Punjab police g,2
Ja sara veer police vala thoda ja ho gai panjab tariki kar lo ji verry good,2
Raaba mehar bhariy haath rakhe sade punjb de loka te ewaa he pyaar baniya reha har insan vch,2
Kash pp Sadda hi Idda di hi ho jaye lokka de dukh dard samaj ke kam karre,2
Rab tuhade pariwar te tuhanu beshumar khushiyan bakshan,2
"Sarkar bahut kuch kar rahi aa i salute Cm saab sanu sarrya nu sarkar daa sath dene chaida "" waha guru ji daa khalsa waheguru ji di fateh """,2
Captan sahib officera nu video call na kro loka nu kro ona to pusho ki haal a kive chl reha,0
Satnam shri waheguru ji mehar kari sab,2
Sir var. Var salam. Kran. Nu gee karda. Hi,2
kuj ku bande change aa but baki ta nake lala k paise bna rahe ne,0
Punjab police mani tune sab police wale nu bahut bahut thanks,2
Sar main bhi madad karna chunda ha per Mera sat koi v nahi dera,0
Veer ji eh waheguru ji kol hajiri lag gayee tuhadi waheguru tuhanu chardi kala bakshe,2
j sewa he karni hai dikhva na karo.,0
sache man dil nal sewa karo,2
Ehh har garib di photo khicna wala kam bi band kra g,0
Waheguru veer tere ta mehar kare,2
Bhut bhut punjab police nu sulate grib bachyia layi,2
Jo loka de Ghare ja k kut k aae una di b ninda Karo,0
Ase police wale ko dil toh slam God bless you,2
Salute aa ejhe mulajma nu jo apni duty de nal nal lok sewa v kar rahe ne,2
Punjab. Police bahhut.acha.kaam.kar.rahi.hai.,2
Tuc Ki krde paye oh captain Amarinder Singh j,0
"Sir ji red zone city de hisab na Karo ji, phillaur pichle 40 din vich koi case nhi or disst jalandhar 50 km door ji",1
Sir baki sari shop opn karwati tuci eggs wali and meet shop v jina nal nuksan hunda oh open karwati jina nal koi nuksan ni oh oh shop kholn di manjuri ni diti de halwai shop wale kidr jange ohna bare v kich socho,0
Middle class de layi ke sochya captain sahab.asi v tuhanu vote paya.,0
Quarantine kite loka nu ini Buri tra rakhya hoya hai,0
Nale ki curfew nal sab thikk hoju dso,0
Sir ji tusi bhagwan ke mehmaan ho sir ji salute 2 u,2
"Sir factory open kar do , nahi to bukh toh mar jange lok",0
CM shib jo tusi khe rahe ho ground level te reality kuch hor hai.,0
Koe nhi lgada mask .je bolo ta bolde a ki sanu koe bimari nhi a,0
Main bs eh benti krda captain sab ji. Jo sade varge grib bande kraye te rehnde ne jra sade bare v socho .mkaan malk kraya lain li aounde ne tusi dso asi kitho de skage je asi kam k ghr lai k avage ta hi kraya dvage te bizli da bil bhra ge .te dhudh de‰Û?,0
Bahare aur Janata aayege COVID-19 nall leke......per dekhiyo muh ek duje ja,0
Bhul ja tu tan captain hun sarkar next bcz tera bandya ne tenu ena thale lagata,0
Roti sade kol hai nahi pur sarab pe ke so ta jawa ge,0
Ki lagda daily kine saare comments krde ne sade lok . eh read hunde honge sarkar ton ????...1,1
Sir g Malerkotla VH rashan ni oda,0
"Saab ji tusi tan kahi jaa rahe ho ke mandian ch sab parbhand kitey hoye aa....sanitizer tan baad di gall aa phela baardana tan available krvaao.....mera village dhilwan aa dist kpt. Te kall di kanak lai ke gaye hoye te othe baardana ni pta ni kidan da khatam hoyea aa,na kall haiga c te ajj v nai aayea......eh keho jahe parbhand hoye",0
Ssa sir madras city which sade relatives hun,1
"naab gll clear krwao sangat keh rhi othe test ch report negative aithe positive kive,,,,",0
Cm saab strict karo ji Samrala Safe c hun 7.8 ho gy g positive kuj karo ji thanks...ji,2
"Tusi middle class da ki sochya,,,,sab election vang bss press ch hi byaan ghum rhe tuhade,,ground level te middle class lyi ki ho ria,,,,",0
real ch v bnd krvou hje v bhut log bhr ghum rhae local jo chotiea markit ae othe ghum rhae log kae pind ch tash khead rhae bhr log police nu round laouna chaida news waleo tuc o boldo police nu v round laye pind ch,0
Khan peen nu vi daa doo,0
Sir ration card cut kr k tu c gareeb lok nu kanak v ni diti te hun 10 din rojgar v band kr dita o ki khange,0
Fuddu sela captain,0
Dary dukan wich har ek chj Punjab government dy property 3bisby wich sab kuj,1
Maar deya kesssan Or Gariib look Kittna Paise millla Govt ko Haad Haye Yaar Dunia Katam hone Par Yaah look khana v nahe Daa rahe uper Saa Lockdown,0
Lok mere naal galat vehbar kar rahi hai,0
Jhara lok dhari krda n oh sham nu ki khan gya j sab kug bund ray t haa kal d din hor l lvo karfu but parso tu koi kurfu n lga kisa garib bara t soucho g,0
Kiwe Laggeya Geet Comment Karke Jarur Dasseyo?,1
Kon kon lockdown wach gana Sun Raha va,1
